ibge_mun,iso_year,iso_week,precip_tot,temp_mean,temp_min,temp_max,umid_mean,vento_velocidade_horaria_m_s_mean,n_stations,sem_not,cases
110020,2024,32,0.0,28.488636363636363,21.3,36.1,70.68939393939394,1.2219696969696972,1.0,,0.0
110020,2024,33,0.0,27.733333333333334,24.2,29.8,76.83333333333333,1.6666666666666667,1.0,,0.0
110020,2024,35,0.7999999999999999,27.308333333333334,25.3,31.3,83.45833333333333,1.7791666666666668,1.0,,0.0
110020,2024,36,8.0,27.32857142857143,19.9,35.1,77.49404761904762,1.3773809523809524,1.0,,0.0
110020,2024,37,0.0,30.906,24.8,36.9,64.38,0.6333333333333333,1.0,,0.0
110020,2024,40,104.4,27.15625,20.8,34.7,82.07638888888889,1.2319444444444445,1.0,,0.0
110020,2024,41,0.0,27.031,17.2,37.0,66.37,1.7950000000000002,1.0,,0.0
110020,2024,44,18.4,27.172222222222224,24.4,34.1,83.45833333333333,1.4402777777777778,1.0,,0.0
110020,2024,45,49.4,26.873793103448275,15.7,36.8,74.23448275862069,1.328888888888889,1.0,,0.0
110020,2024,46,0.0,29.819230769230767,24.7,34.4,69.6923076923077,,1.0,,0.0
110020,2024,48,0.2,26.766666666666666,24.0,32.8,84.5,0.9833333333333334,1.0,,0.0
110020,2024,49,34.6,26.87440476190476,19.1,34.8,78.0,1.2261904761904763,1.0,,0.0
110020,2024,50,0.0,31.546938775510203,24.5,37.7,60.6530612244898,0.6333333333333333,1.0,,0.0
110030,2024,1,22.0,25.033333333333335,16.1,32.5,71.55357142857143,1.6214285714285712,1.0,,0.0
110030,2024,2,0.0,26.326666666666664,20.1,34.0,58.18333333333333,1.6604166666666667,1.0,,0.0
110030,2024,5,2.2,25.319791666666664,21.0,32.3,77.16666666666667,1.5989583333333333,1.0,,0.0
110030,2024,6,9.0,26.479761904761908,19.6,35.4,53.99404761904762,1.8983333333333334,1.0,,0.0
110030,2024,7,6.800000000000001,25.40833333333333,22.0,30.8,75.79166666666667,,1.0,,0.0
110030,2024,9,17.0,24.731944444444444,21.0,31.2,80.08333333333333,1.7486111111111111,1.0,,0.0
110030,2024,10,16.4,26.83452380952381,18.2,35.5,54.38095238095238,1.8187499999999999,1.0,,0.0
110030,2024,11,31.4,25.2,21.7,30.3,75.52083333333333,,1.0,,0.0
110030,2024,14,68.0,25.139285714285712,20.3,32.2,70.89880952380952,1.9095238095238096,1.0,,0.0
110030,2024,15,30.400000000000002,26.7025,21.6,35.0,61.13333333333333,1.8791666666666667,1.0,,0.0
110030,2024,18,37.8,24.858333333333334,21.5,32.2,78.36666666666666,1.4766666666666666,1.0,,0.0
110030,2024,19,35.2,26.342261904761905,20.2,34.2,56.970238095238095,2.0395833333333333,1.0,,0.0
110030,2024,22,1.0,25.022916666666664,21.3,30.6,78.125,1.8020833333333333,1.0,,0.0
110030,2024,23,25.400000000000002,26.473214285714285,18.8,35.6,55.220238095238095,2.0726190476190474,1.0,,0.0
110030,2024,24,1.4,25.24722222222222,21.4,34.6,73.09722222222223,,1.0,,0.0
110030,2024,27,33.8,25.639285714285712,19.9,32.2,69.42857142857143,1.75,1.0,,0.0
110030,2024,28,40.8,26.168333333333333,21.3,36.2,57.86666666666667,1.9749999999999999,1.0,,0.0
110030,2024,31,5.800000000000001,25.318749999999998,21.0,31.9,78.77083333333333,1.503125,1.0,,0.0
110030,2024,32,8.600000000000001,26.50238095238095,17.1,36.5,54.779761904761905,1.73,1.0,,0.0
110030,2024,33,0.4,24.712500000000002,21.6,30.0,76.58333333333333,,1.0,,0.0
110030,2024,35,63.0,24.391666666666666,20.5,27.7,79.75,1.425,1.0,,0.0
110030,2024,36,0.8,24.377380952380953,12.9,33.3,68.04761904761905,1.888095238095238,1.0,,0.0
110030,2024,37,14.2,26.917708333333334,21.5,37.3,58.979166666666664,1.5250000000000001,1.0,,0.0
110030,2024,40,25.400000000000002,25.589583333333334,20.2,32.2,70.82638888888889,1.6263888888888889,1.0,,0.0
110030,2024,41,7.6000000000000005,23.859722222222224,11.7,35.6,58.895833333333336,2.2333333333333334,1.0,,0.0
110030,2024,44,45.8,24.479166666666668,21.8,33.0,82.56944444444444,1.7180555555555557,1.0,,0.0
110030,2024,45,14.6,26.05892857142857,14.3,34.6,55.63690476190476,1.6659722222222222,1.0,,0.0
110030,2024,46,95.39999999999999,24.802083333333332,20.7,30.1,78.70833333333333,,1.0,,0.0
110030,2024,48,2.8,23.625,21.0,29.8,80.95833333333333,1.5916666666666668,1.0,,0.0
110030,2024,49,81.8,24.80892857142857,17.5,33.2,64.73214285714286,1.9386904761904762,1.0,,0.0
110030,2024,50,5.8,27.234375,22.7,35.5,62.541666666666664,1.5041666666666667,1.0,,0.0
120020,2024,1,3.6,25.464880952380955,19.4,33.9,86.64893617021276,1.0047619047619047,1.0,,0.0
120020,2024,2,0.0,24.058333333333334,22.4,28.4,,0.6181818181818182,1.0,,0.0
120020,2024,5,0.4,26.818749999999998,22.5,33.3,84.81395348837209,0.7114583333333333,1.0,,0.0
120020,2024,6,1.8,24.480722891566266,18.3,33.9,,0.8746987951807228,1.0,,0.0
120020,2024,7,0.0,,,,,,1.0,,0.0
120020,2024,9,13.200000000000001,26.8125,22.8,33.2,88.546875,0.7680555555555555,1.0,,0.0
120020,2024,10,3.0,25.889908256880734,19.9,33.7,86.125,0.6394495412844037,1.0,,0.0
120020,2024,11,0.0,,,,,,1.0,,0.0
120020,2024,14,9.2,26.197619047619046,20.9,32.5,87.38823529411765,0.7244047619047619,1.0,,0.0
120020,2024,15,0.0,25.539130434782606,22.5,31.5,,0.39545454545454545,1.0,,0.0
120020,2024,18,32.2,26.2225,22.5,32.9,81.81720430107526,0.9033333333333334,1.0,,0.0
120020,2024,19,0.0,25.860869565217392,20.5,33.4,,0.5652173913043478,1.0,,0.0
120020,2024,22,1.0,26.40625,22.4,32.7,84.6875,0.8666666666666667,1.0,,0.0
120020,2024,23,2.2,25.783333333333335,20.2,32.4,76.70212765957447,0.7234848484848485,1.0,,0.0
120020,2024,24,0.0,,,,,,1.0,,0.0
120020,2024,27,37.6,26.344642857142855,21.0,33.3,75.79166666666667,0.7160714285714286,1.0,,0.0
120020,2024,28,0.0,24.058333333333334,23.2,25.8,,0.125,1.0,,0.0
120020,2024,31,6.4,26.275000000000002,23.1,31.8,78.10416666666667,0.7864583333333334,1.0,,0.0
120020,2024,32,28.2,26.027380952380955,21.1,33.2,,0.5285714285714286,1.0,,0.0
120020,2024,33,0.0,,,,,,1.0,,0.0
120020,2024,35,0.8,26.2625,24.3,30.2,85.04166666666667,1.1583333333333334,1.0,,0.0
120020,2024,36,107.4,26.04551282051282,21.7,34.7,76.34285714285714,0.7038461538461538,1.0,,0.0
120020,2024,37,0.0,,,,,,1.0,,0.0
120020,2024,40,64.4,26.038194444444443,23.1,33.5,85.07291666666667,0.6708333333333333,1.0,,0.0
120020,2024,41,0.2,23.352777777777778,20.2,27.5,,1.4277777777777778,1.0,,0.0
120020,2024,44,57.2,26.04861111111111,22.8,32.9,76.21126760563381,0.7805555555555556,1.0,,0.0
120020,2024,45,0.2,24.746296296296297,16.1,33.0,75.29166666666667,0.7268518518518519,1.0,,0.0
120020,2024,46,0.0,,,,,,1.0,,0.0
120020,2024,48,0.0,25.599999999999998,23.5,29.1,86.66666666666667,0.9125,1.0,,0.0
120020,2024,49,18.8,25.742948717948718,19.4,34.6,67.11267605633803,0.7602564102564102,1.0,,0.0
120020,2024,50,0.0,,,,,,1.0,,0.0
120025,2024,1,3.6,24.506993006993007,13.5,31.9,87.82608695652173,0.8975903614457831,1.0,,0.0
120025,2024,2,0.0,27.4425,18.0,36.2,,0.9875,1.0,,0.0
120025,2024,5,13.6,26.520833333333332,23.0,32.7,84.08333333333333,0.8250000000000001,1.0,,0.0
120025,2024,6,0.0,25.552054794520547,15.7,37.7,,0.9160714285714286,1.0,,0.0
120025,2024,7,0.2,28.150000000000002,23.5,34.5,,0.9625,1.0,,0.0
120025,2024,9,45.800000000000004,26.813235294117646,22.9,32.8,84.69565217391305,0.8338235294117647,1.0,,0.0
120025,2024,10,99.2,26.357317073170734,17.7,38.5,,0.8470238095238096,1.0,,0.0
120025,2024,11,4.0,26.81041666666667,23.0,34.1,,0.7895833333333333,1.0,,0.0
120025,2024,14,146.0,25.31686746987952,19.4,33.8,97.27272727272727,0.7415662650602409,1.0,,0.0
120025,2024,15,11.6,26.69333333333333,20.6,37.0,,0.8200000000000001,1.0,,0.0
120025,2024,18,37.800000000000004,26.19145299145299,22.2,36.8,86.625,0.7512605042016807,1.0,,0.0
120025,2024,19,0.2,26.0644578313253,17.9,35.3,,0.8337349397590362,1.0,,0.0
120025,2024,22,30.8,25.50208333333333,21.9,33.3,96.625,0.6124999999999999,1.0,,0.0
120025,2024,23,16.8,25.45416666666667,17.9,33.8,,0.8279761904761904,1.0,,0.0
120025,2024,24,7.8,27.16760563380282,23.2,37.7,,0.8549295774647888,1.0,,0.0
120025,2024,27,5.800000000000001,26.31309523809524,19.0,34.6,92.04166666666667,0.7547619047619047,1.0,,0.0
120025,2024,28,2.6,25.844915254237286,17.1,36.7,,0.8101694915254237,1.0,,0.0
120025,2024,31,6.2,26.901041666666668,22.3,34.4,84.58333333333333,0.8989583333333333,1.0,,0.0
120025,2024,32,21.4,25.97142857142857,18.6,36.6,,0.7892857142857143,1.0,,0.0
120025,2024,33,0.0,24.995833333333334,22.5,30.5,,0.7416666666666667,1.0,,0.0
120025,2024,35,0.0,27.1875,23.6,32.5,85.33333333333333,0.9041666666666667,1.0,,0.0
120025,2024,36,5.6000000000000005,24.655757575757576,13.9,34.1,,1.084848484848485,1.0,,0.0
120025,2024,37,80.4,26.50888888888889,22.4,37.4,,0.851111111111111,1.0,,0.0
120025,2024,40,10.799999999999999,26.772027972027974,20.0,34.3,83.0,0.865034965034965,1.0,,0.0
120025,2024,41,3.0,23.87777777777778,14.7,37.0,,1.11875,1.0,,0.0
120025,2024,44,3.0,26.893055555555556,23.4,32.0,80.0,0.9541666666666667,1.0,,0.0
120025,2024,45,0.0,25.038095238095234,12.9,38.0,,0.9065476190476192,1.0,,0.0
120025,2024,46,0.0,27.72083333333333,22.8,34.0,,0.9,1.0,,0.0
120025,2024,48,0.0,26.50909090909091,21.9,32.4,82.5,0.9363636363636364,1.0,,0.0
120025,2024,49,56.8,24.307692307692307,16.0,33.5,,0.9866666666666667,1.0,,0.0
120025,2024,50,79.0,27.524468085106385,23.1,38.5,,0.9340425531914893,1.0,,0.0
120030,2024,1,12.6,24.548214285714288,18.1,31.0,88.86309523809524,1.5464285714285715,1.0,,0.0
120030,2024,2,7.0,27.0825,19.5,36.0,64.90140845070422,1.1466666666666667,1.0,,0.0
120030,2024,5,13.4,26.322916666666668,23.4,33.0,88.13541666666667,1.340625,1.0,,0.0
120030,2024,6,6.8,25.899404761904766,17.5,36.0,74.24242424242425,1.2059523809523809,1.0,,0.0
120030,2024,7,0.2,27.770833333333332,23.6,33.4,58.583333333333336,1.5458333333333334,1.0,,0.0
120030,2024,9,11.0,26.255555555555556,23.4,31.7,89.80555555555556,1.4583333333333333,1.0,,0.0
120030,2024,10,17.2,26.072619047619046,18.8,36.8,77.87218045112782,1.2386904761904762,1.0,,0.0
120030,2024,11,5.8,26.662499999999998,22.9,34.3,69.13793103448276,1.6437499999999998,1.0,,0.0
120030,2024,14,83.4,25.861309523809524,18.9,32.3,86.62025316455696,1.3166666666666667,1.0,,0.0
120030,2024,15,60.2,26.109166666666667,21.0,35.2,75.91011235955057,1.4583333333333333,1.0,,0.0
120030,2024,18,18.0,26.290000000000003,22.9,33.6,88.63333333333334,1.18,1.0,,0.0
120030,2024,19,27.599999999999998,25.593452380952378,20.0,34.0,75.38095238095238,1.2107142857142859,1.0,,0.0
120030,2024,22,6.199999999999999,26.479166666666668,22.9,32.4,86.41666666666667,1.2770833333333333,1.0,,0.0
120030,2024,23,95.8,25.283333333333335,19.5,33.0,85.03649635036497,1.3517857142857141,1.0,,0.0
120030,2024,24,6.0,27.237499999999997,23.1,35.3,70.8695652173913,1.2680555555555555,1.0,,0.0
120030,2024,27,25.4,25.914285714285718,21.0,32.3,87.46496815286625,1.1827380952380953,1.0,,0.0
120030,2024,28,108.4,25.8775,20.6,36.1,73.41538461538461,1.5216666666666667,1.0,,0.0
120030,2024,31,23.0,26.403125,23.8,32.6,89.59375,1.2979166666666668,1.0,,0.0
120030,2024,32,9.799999999999999,26.10238095238095,20.8,33.7,78.70796460176992,1.1928571428571428,1.0,,0.0
120030,2024,33,25.0,24.099999999999998,23.0,26.3,86.4,1.425,1.0,,0.0
120030,2024,35,0.4,26.316666666666666,24.6,31.2,87.33333333333333,1.7625,1.0,,0.0
120030,2024,36,26.4,26.202380952380953,21.1,34.6,84.91836734693878,1.3077380952380953,1.0,,0.0
120030,2024,37,29.6,25.420833333333334,22.4,34.9,79.49122807017544,1.3010416666666667,1.0,,0.0
120030,2024,40,18.0,26.56527777777778,22.8,32.7,86.84722222222223,1.4291666666666667,1.0,,0.0
