epiweek,week_start,cases,incidence,temp_est,humidity_est
202349,1701561600000,1823,62.3595581055,24.2570857143,67.9925857143
202350,1702166400000,2627,89.8620758057,25.2606857143,58.9966142857
202351,1702771200000,2988,102.2108383179,23.5341,71.4165714286
202352,1703376000000,3937,134.6733856201,24.1578142857,77.4403571429
202401,1703980800000,9340,319.4943847656,21.5246714286,89.4806714286
202402,1704585600000,9782,334.6139221191,22.3296857143,83.7961428571
202403,1705190400000,15007,513.3460693359,24.0098857143,72.3731714286
202404,1705795200000,21998,752.4879760742,22.5587142857,83.6999285714
202405,1706400000000,25623,876.4887084961,22.2444571429,82.4189142857
202406,1707004800000,24198,827.7435913086,21.9603428571,85.1913142857
202407,1707609600000,23969,819.91015625,22.6382428571,77.5302142857
202408,1708214400000,25714,879.6015625,21.5562142857,88.3955714286
202409,1708819200000,24823,849.123046875,24.1701428571,68.5183428571
202410,1709424000000,21609,739.1813964844,23.3449857143,79.4438
202411,1710028800000,19376,662.7969360352,24.1342571429,77.6525571429
202412,1710633600000,17439,596.5377807617,23.9585285714,79.9017
202413,1711238400000,11654,398.6496276855,22.4535857143,82.0978
202414,1711843200000,11954,408.9117736816,22.5227142857,86.0912
202415,1712448000000,10739,367.3501281738,22.7452,76.2233857143
202416,1713052800000,8542,292.1971130371,22.9952714286,71.9516714286
202417,1713657600000,6230,213.1102905273,22.5420285714,68.3651714286
202418,1714262400000,4951,169.3593902588,23.2156,61.5202571429
202419,1714867200000,4384,149.9639587402,21.8216857143,60.9340857143
202420,1715472000000,3822,130.7395629883,22.5165857143,55.8065285714
202421,1716076800000,3503,119.8274993896,22.043,58.7893857143
202422,1716681600000,2501,85.5519790649,21.0278285714,56.9949142857
202423,1717286400000,1730,59.1782989502,20.4999,61.5483857143
202424,1717891200000,1161,39.7144508362,20.3967285714,58.0647142857
202425,1718496000000,805,27.5367221832,19.6371857143,54.9992142857
202426,1719100800000,423,14.4696063995,20.6306428571,48.8884
202427,1719705600000,465,15.9063053131,20.2704714286,47.8145714286
202428,1720310400000,409,13.9907073975,21.3259,45.3511285714
202429,1720915200000,327,11.1857242584,19.2568571429,48.2817714286
202430,1721520000000,312,10.6726179123,19.2667428571,46.6519142857
202431,1722124800000,305,10.4331684113,21.2564714286,47.4732857143
202432,1722729600000,359,12.2803516388,21.0099857143,45.6172571429
202433,1723334400000,377,12.8960800171,22.1076857143,38.3598285714
202434,1723939200000,340,11.6304168701,22.9027714286,31.7903714286
202435,1724544000000,292,9.9884757996,22.8053571429,42.6537428571
202436,1725148800000,294,10.056889534,24.6672714286,26.1744285714
202437,1725753600000,304,10.3989610672,23.9103285714,32.0015
202438,1726358400000,308,10.5357894897,25.8385142857,33.2877571429
202439,1726963200000,302,10.3305463791,27.2590142857,29.1696857143
202440,1727568000000,298,10.1937179565,27.3216,30.6651714286
202441,1728172800000,324,11.0831031799,26.6405714286,53.4701142857
202442,1728777600000,347,11.8698663712,22.8356571429,77.0724142857
202443,1729382400000,411,14.0591211319,22.9986571429,78.8821571429
202444,1729987200000,516,17.6508674622,22.0840714286,79.8654142857
202445,1730592000000,667,22.8161411285,21.6592,83.4829
202446,1731196800000,634,21.6873073578,21.4708,84.4701857143
202447,1731801600000,769,26.3052654266,22.3033714286,81.1718857143
202448,1732406400000,604,20.6610927582,22.2715285714,80.0631571429
202449,1733011200000,742,25.3816738129,22.9661428571,76.3203571429
202450,1733616000000,662,22.6451053619,23.9027714286,71.4193428571
202451,1734220800000,555,18.9849452972,22.6349714286,81.9829142857
202452,1734825600000,457,15.632648468,21.8239285714,85.5948857143
